Title,Company,Location,Time,Expire
PjatalareseMK HOTEL TIRANA,MK HOTEL TIRANA,Tirane,13-03-2025,edhe 26 ditë
Shites per bojra dhe vegla puneMILLOCOLOR,MILLOCOLOR,Tirane,13-03-2025,edhe 26 ditë
"Customer Service RepresentativeTouch Support, Inc.","Touch Support, Inc.",Punë nga shtëpia,13-03-2025,edhe 26 ditë
"Junior IT Support SpecialistTouch Support, Inc.","Touch Support, Inc.",Punë nga shtëpia,13-03-2025,edhe 26 ditë
"Oficer Kredie, Dega PogradecNOA",NOA,Pogradec,27-02-2025,edhe 12 ditë
Menaxher Projekti-Inxhinier i ElektrikKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
ElektricistKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Teknik OrtopedieTrimed Shpk,Trimed Shpk,Tirane,13-03-2025,edhe 26 ditë
"Junior AccountantTouch Support, Inc.","Touch Support, Inc.",Punë nga shtëpia,13-03-2025,edhe 26 ditë
Supervizor ShitjeKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Punetor MagazineLAGHI SHPK,LAGHI SHPK,Shqipëri,13-03-2025,edhe 26 ditë
Operatore ImpiantiKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Menaxher/e dyqaniI & A INTERNATIONAL,I & A INTERNATIONAL,Tirane,13-03-2025,edhe 26 ditë
Teknik per TelevizoreGlobe Shops shpk,Globe Shops shpk,Tirane,13-03-2025,edhe 26 ditë
Punonjes DekoriAmi Event,Ami Event,Tirane,13-03-2025,edhe 26 ditë
SanitareSegafredo Bar Restorant,Segafredo Bar Restorant,Tirane,13-03-2025,edhe 26 ditë
Shofer MagazineA.M.G sh.p.k,A.M.G sh.p.k,Tirane,13-03-2025,edhe 26 ditë
Financiere DurresTop Express,Top Express,Durres,13-03-2025,edhe 26 ditë
Menaxher ProjektiAgikons,Agikons,Tirane,13-03-2025,edhe 26 ditë
Specialist  BlerjeshKalaja Talent Consulting,Kalaja Talent Consulting,"Tirane, Shkodër ,...",13-03-2025,edhe 26 ditë
Agjent Shitje Key AccountKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
"Operatore Kase, Globe ToptanGlobe Shops shpk",Globe Shops shpk,Tirane,13-03-2025,edhe 26 ditë
Drejtuese FinanceTabi Construction shpk,Tabi Construction shpk,Tirane,13-03-2025,edhe 26 ditë
Menaxher prokurimiAgikons,Agikons,Tirane,13-03-2025,edhe 26 ditë
Menaxher KategorieKalaja Talent Consulting,Kalaja Talent Consulting,Tirane,13-03-2025,edhe 26 ditë
Inxhinier/e Preventivues/eAgikons,Agikons,Tirane,13-03-2025,edhe 26 ditë
